epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,894.728,0.94798,2.65679,0.92122,0.70906,0.84923,0.82413,0.71233,0.56604,0.91203,0.83307,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238
2,1676.14,0.77749,1.3056,0.8775,0.87494,0.94898,0.94497,0.82345,0.54884,0.59792,0.83251,0.0196012,0.00653373,0.0196012,0.00653373,0.0196012,0.00653373,0.0196012,0.00653373
3,2445.74,0.77298,1.00114,0.87629,0.90855,0.9527,0.96026,0.83834,0.5476,0.52257,0.83656,0.0288093,0.00960309,0.0288093,0.00960309,0.0288093,0.00960309,0.0288093,0.00960309
4,3234.71,0.72505,0.80834,0.8693,0.9344,0.97797,0.97024,0.86222,0.49492,0.41968,0.82611,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4009.62,0.66355,0.66821,0.85625,0.94017,0.98928,0.97664,0.8785,0.47471,0.36978,0.82265,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4787.06,0.62664,0.59417,0.84766,0.94618,0.9884,0.97815,0.88902,0.44853,0.3406,0.81654,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5545.43,0.60437,0.55587,0.84457,0.95745,0.98149,0.98285,0.89863,0.43656,0.32355,0.81382,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6284.93,0.57898,0.52452,0.83885,0.94278,0.99513,0.97978,0.90029,0.42403,0.3125,0.81094,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7036.38,0.56662,0.50515,0.83653,0.94627,0.9965,0.97484,0.89713,0.41541,0.3107,0.80924,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,7738.92,0.55504,0.4821,0.83475,0.95362,0.98798,0.98293,0.90913,0.41266,0.29253,0.80901,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
